Month,Sales_Units,Promo_Flag_0_1,Stockout_Flag_0_1,Notes
2023-01-01,955,1,1,
2023-02-01,860,0,0,
2023-03-01,895,0,0,
2023-04-01,930,0,0,
2023-05-01,965,0,0,
2023-06-01,1000,0,0,
2023-07-01,1165,1,0,
2023-08-01,1070,0,0,
2023-09-01,1105,0,0,
2023-10-01,1140,0,0,
2023-11-01,1175,0,0,
2023-12-01,1210,0,0,
2024-01-01,955,1,0,
2024-02-01,860,0,0,
2024-03-01,895,0,0,
2024-04-01,930,0,0,
2024-05-01,965,0,0,
2024-06-01,1000,0,1,
2024-07-01,1165,1,0,
2024-08-01,1070,0,0,
2024-09-01,1105,0,0,
2024-10-01,1140,0,0,
2024-11-01,1175,0,0,
2024-12-01,1210,0,0,
2025-01-01,955,1,0,
2025-02-01,860,0,0,
2025-03-01,895,0,0,
2025-04-01,930,0,0,
2025-05-01,965,0,0,
2025-06-01,1000,0,0,
2025-07-01,1165,1,0,
2025-08-01,1070,0,0,
2025-09-01,1105,0,0,
2025-10-01,1140,0,0,
2025-11-01,1175,0,1,
2025-12-01,1210,0,0,
